,state_successful
0,1
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,1
15,0
16,0
17,0
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,0
38,1
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,0
55,1
56,0
57,0
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,1
85,1
86,0
87,0
88,1
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,1
98,0
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,0
107,1
108,0
109,0
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,0
120,0
121,1
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,1
151,0
152,1
153,1
154,0
155,1
156,0
157,1
158,0
159,1
160,1
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,0
169,0
170,0
171,0
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,1
180,1
181,1
182,1
183,0
184,0
185,1
186,1
187,1
188,1
189,0
190,1
191,0
192,0
193,1
194,1
195,1
196,1
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,0
207,0
208,1
209,1
210,1
211,0
212,0
213,1
214,1
215,0
216,0
217,1
218,1
219,1
220,1
221,0
222,1
223,1
224,0
225,0
226,1
227,1
228,1
229,1
230,0
231,0
232,0
233,0
234,1
235,1
236,0
237,1
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,0
247,1
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,0
259,0
260,0
261,0
262,0
263,1
264,1
265,0
266,0
267,1
268,1
269,1
270,1
271,1
272,0
273,1
274,0
275,1
276,0
277,1
278,0
279,1
280,1
281,0
282,1
283,0
284,0
285,0
286,0
287,1
288,0
289,1
290,0
291,1
292,0
293,0
294,1
295,1
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,0
311,0
312,0
313,1
314,1
315,1
316,1
317,1
318,0
319,1
320,0
321,1
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,0
330,0
331,1
332,0
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,0
344,1
345,0
346,1
347,0
348,0
349,0
350,1
351,0
352,1
353,1
354,1
355,0
356,1
357,1
358,1
359,0
360,1
361,1
362,1
363,0
364,0
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,0
378,0
379,1
380,0
381,0
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,0
393,1
394,1
395,1
396,1
397,0
398,0
399,1
400,0
401,0
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,0
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,0
435,0
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,0
452,0
453,1
454,1
455,1
456,1
457,1
458,1
459,0
460,1
461,0
462,1
463,0
464,1
465,0
466,1
467,0
468,1
469,1
470,1
471,0
472,1
473,1
474,1
475,1
476,0
477,1
478,1
479,1
480,0
481,0
482,0
483,0
484,1
485,0
486,1
487,1
488,1
489,0
490,1
491,1
492,1
493,0
494,1
495,0
496,0
497,1
498,1
499,0
500,1
501,1
502,0
503,0
504,0
505,1
506,1
507,0
508,1
509,0
510,1
511,1
512,0
513,0
514,0
515,1
516,1
517,1
518,1
519,0
520,0
521,1
522,1
523,1
524,0
525,1
526,1
527,0
528,1
529,1
530,1
531,1
532,1
533,0
534,0
535,1
536,0
537,0
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,0
551,1
552,1
553,1
554,0
555,1
556,1
557,1
558,1
559,1
560,1
561,0
562,1
563,0
564,1
565,0
566,1
567,1
568,0
569,1
570,0
571,1
572,0
573,0
574,0
575,0
576,1
577,1
578,1
579,1
580,1
581,1
582,0
583,0
584,0
585,1
586,0
587,0
588,1
589,0
590,0
591,0
592,0
593,1
594,0
595,0
596,1
597,0
598,0
599,1
600,0
601,1
602,0
603,1
604,1
605,0
606,1
607,1
608,1
609,1
610,0
611,1
612,1
613,1
614,0
615,0
616,0
617,1
618,1
619,1
620,0
621,0
622,0
623,0
624,0
625,1
626,0
627,0
628,1
629,0
630,0
631,0
632,1
633,0
634,0
635,0
636,1
637,1
638,1
639,1
640,1
641,1
642,0
643,0
644,0
645,0
646,1
647,0
648,1
649,0
650,1
651,1
652,1
653,0
654,1
655,1
656,1
657,0
658,1
659,1
660,1
661,0
662,1
663,0
664,1
665,1
666,1
667,1
668,1
669,0
670,1
671,1
672,1
673,1
674,0
675,1
676,1
677,1
678,0
679,1
680,0
681,1
682,1
683,0
684,1
685,1
686,1
687,1
688,1
689,1
690,0
691,1
692,0
693,1
694,0
695,1
696,0
697,1
698,0
699,0
700,1
701,1
702,0
703,0
704,1
705,1
706,1
707,0
708,1
709,1
710,1
711,1
712,0
713,0
714,0
715,0
716,0
717,0
718,1
719,0
720,1
721,1
722,1
723,1
724,0
725,1
726,1
727,1
728,0
729,0
730,1
731,0
732,1
733,1
734,1
735,0
736,0
737,0
738,0
739,0
740,1
741,1
742,0
743,1
744,0
745,1
746,1
747,0
748,1
749,1
750,0
751,1
752,1
753,1
754,0
755,1
756,1
757,1
758,0
759,1
760,1
761,1
762,0
763,1
764,1
765,1
766,0
767,1
768,1
769,1
770,1
771,0
772,1
773,1
774,1
775,0
776,1
777,0
778,0
779,0
780,0
781,1
782,1
783,1
784,1
785,1
786,0
787,0
788,1
789,1
790,0
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,0
801,1
802,0
803,0
804,0
805,0
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,0
814,1
815,1
816,0
817,0
818,1
819,0
820,0
821,1
822,0
823,0
824,0
825,0
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,0
838,0
839,1
840,1
841,1
842,1
843,1
844,0
845,1
846,1
847,1
848,0
849,1
850,0
851,0
852,1
853,1
854,0
855,0
856,0
857,1
858,1
859,0
860,1
861,0
862,0
863,0
864,0
865,1
866,0
867,1
868,1
869,1
870,1
871,0
872,1
873,1
874,0
875,0
876,1
877,1
878,1
879,0
880,0
881,1
882,0
883,0
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,0
893,1
894,1
895,1
896,0
897,1
898,1
899,1
900,0
901,1
902,1
903,1
904,1
905,1
906,0
907,0
908,0
909,0
910,0
911,1
912,0
913,0
914,0
915,0
916,1
917,0
918,0
919,1
920,0
921,1
922,1
923,1
924,1
925,0
926,1
927,1
928,1
929,1
930,1
931,0
932,1
933,1
934,1
935,1
936,1
937,1
938,0
939,0
940,1
941,1
942,1
943,1
944,0
945,1
946,0
947,1
948,1
949,0
950,1
951,1
952,1
953,0
954,1
955,1
956,1
957,1
958,1
959,1
960,0
961,0
962,1
963,1
964,0
965,1
966,1
967,0
968,0
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,0
977,0
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,0
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,0
995,0
996,1
997,0
998,1
999,0
1000,1
1001,0
1002,1
1003,1
1004,1
1005,0
1006,1
1007,0
1008,0
1009,1
1010,0
1011,1
1012,1
1013,0
1014,1
1015,1
1016,1
1017,1
1018,0
1019,1
1020,0
1021,1
1022,0
1023,1
1024,0
1025,0
1026,0
1027,0
1028,1
1029,1
1030,1
1031,0
1032,1
1033,0
1034,0
1035,1
1036,1
1037,1
1038,1
1039,0
1040,0
1041,0
1042,1
1043,1
1044,1
1045,0
1046,1
1047,0
1048,1
1049,1
1050,0
1051,1
1052,0
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,0
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,0
1070,1
1071,1
1072,0
1073,1
1074,0
1075,0
1076,1
1077,0
1078,0
1079,1
1080,0
1081,1
1082,0
1083,0
1084,0
1085,0
1086,1
1087,1
1088,1
1089,1
1090,1
1091,0
1092,1
1093,1
1094,0
1095,0
1096,0
1097,1
1098,0
1099,0
1100,1
1101,1
1102,1
1103,1
1104,0
1105,1
1106,0
1107,0
1108,0
1109,0
1110,0
1111,1
1112,0
1113,1
1114,0
1115,0
1116,1
1117,0
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,0
1125,1
1126,0
1127,1
1128,1
1129,0
1130,1
1131,1
1132,1
1133,1
1134,0
1135,0
1136,0
1137,1
1138,1
1139,0
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,0
1148,0
1149,1
1150,1
1151,0
1152,1
1153,1
1154,0
1155,0
1156,1
1157,0
1158,1
1159,1
1160,1
1161,0
1162,0
1163,1
1164,0
1165,0
1166,1
1167,0
1168,1
1169,0
1170,1
1171,1
1172,1
1173,1
1174,1
1175,1
1176,0
1177,1
1178,1
1179,1
1180,0
1181,1
1182,0
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,0
1195,1
1196,1
1197,1
1198,0
1199,1
1200,1
1201,1
1202,1
1203,0
1204,0
1205,0
1206,1
1207,0
1208,0
1209,1
1210,0
1211,0
1212,1
1213,1
1214,0
1215,1
1216,1
1217,0
1218,1
1219,0
1220,0
1221,1
1222,1
1223,1
1224,1
1225,1
1226,0
1227,0
1228,1
1229,0
