,backers_count,converted_pledged_amount,country,created_at,currency,current_currency,deadline,disable_communication,fx_rate,goal,id,is_starrable,launched_at,name,pledged,spotlight,staff_pick,state,state_changed_at,static_usd_rate,urls,usd_pledged,cat_name,cat_slug,loc_state,time_allowed,goal/time_allowed
0,27,6080,NAmerica,2013-11-21,USD,USD,2014-12-12,False,1.0,6000.0,346215450,False,2014-11-12,Film entitled The Quest For Perpetual Bliss,6080.0,True,False,successful,2014-12-12,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1290487230/film-entitled-the-quest-for-perpetual-bliss?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1290487230/film-entitled-the-quest-for-perpetual-bliss/rewards""}}",6080.0,Narrative Film,film & video/narrative film,ID,386,15.544041450777202
1,8,423,NAmerica,2018-01-12,USD,USD,2018-03-10,False,1.0,4500.0,849234061,False,2018-02-01,Hand Drawn Art Book (coloring book style): Protest & Riot!,423.0,False,False,failed,2018-03-10,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/chrimigi/adult-coloring-book-protest-and-riot?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/chrimigi/adult-coloring-book-protest-and-riot/rewards""}}",423.0,Print,journalism/print,CA,57,78.94736842105263
2,0,0,NAmerica,2015-04-11,USD,USD,2015-05-16,False,1.0,300.0,1070892797,False,2015-04-11,Nutritious & Delicious Recipe Book,0.0,False,False,failed,2015-05-16,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1486736248/nutritious-and-delicious-recipe-book?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1486736248/nutritious-and-delicious-recipe-book/rewards""}}",0.0,Cookbooks,food/cookbooks,CA,35,8.571428571428571
3,36,1538,NAmerica,2017-01-10,USD,USD,2017-03-30,False,1.0,700.0,1983595894,False,2017-02-28,MinPen,1538.0,True,False,successful,2017-03-30,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1742745297/minpen?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1742745297/minpen/rewards""}}",1538.0,Crafts,crafts,NY,79,8.860759493670885
4,26,1460,NAmerica,2018-05-15,USD,USD,2018-06-14,False,1.0,1000.0,943732096,False,2018-05-15,MRFISHSAUCE,1460.0,True,False,successful,2018-06-14,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/790764279/mrfishsauce?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/790764279/mrfishsauce/rewards""}}",1460.0,Food,food,NY,30,33.333333333333336
5,16,627,NAmerica,2016-02-23,USD,USD,2016-04-15,False,1.0,500.0,1536971262,False,2016-03-16,Trekker's Beard Oil & Men's Grooming Co.,627.0,True,False,successful,2016-04-15,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1248279881/trekkers-beard-oil-and-mens-grooming-co?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1248279881/trekkers-beard-oil-and-mens-grooming-co/rewards""}}",627.0,Crafts,crafts,MA,52,9.615384615384615
6,74,12610,NAmerica,2018-04-16,USD,USD,2018-05-21,False,1.0,12500.0,519172685,False,2018-04-26,Hanger's Limb: A USC MFA + Sloan Foundation Short Film,12610.0,True,False,successful,2018-05-21,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/743255123/hangers-limb-a-usc-mfa-sloan-foundation-short-film?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/743255123/hangers-limb-a-usc-mfa-sloan-foundation-short-film/rewards""}}",12610.0,Shorts,film & video/shorts,CA,35,357.14285714285717
7,17,2417,SAmerica,2018-09-15,MXN,USD,2018-10-26,False,0.053016499999999994,45000.0,201990441,False,2018-10-05,El Sonido de la Luna,47318.8,True,False,successful,2018-10-26,0.053238499999999994,"{""web"":{""project"":""https://www.kickstarter.com/projects/1977758530/el-sonido-de-la-luna?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1977758530/el-sonido-de-la-luna/rewards""}}",2519.1819338,Drama,film & video/drama,Distrito Federal,41,1097.560975609756
8,44,2005,NAmerica,2018-01-05,USD,USD,2018-03-19,False,1.0,1760.0,925197148,False,2018-01-18,We Grow Urban Farm & Market,2005.0,True,False,successful,2018-03-19,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/wegrowurbanfarm/we-grow-urban-farm-and-market?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/wegrowurbanfarm/we-grow-urban-farm-and-market/rewards""}}",2005.0,Farms,food/farms,CA,73,24.10958904109589
9,1143,161965,NAmerica,2016-12-19,USD,USD,2017-02-11,False,1.0,10000.0,1669525961,False,2017-01-12,Almond Cow - 30 seconds to Almond Milk,161965.0,True,True,successful,2017-02-11,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/almondcow/almond-cow-30-seconds-to-almond-milk?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/almondcow/almond-cow-30-seconds-to-almond-milk/rewards""}}",161965.0,Food,food,GA,54,185.1851851851852
10,84,51395,NAmerica,2014-02-18,USD,USD,2014-04-04,False,1.0,41000.0,350744136,False,2014-03-05,Ubongo Kids: Tanzania's Homegrown Edu-Cartoon Season 1,51395.0,True,False,successful,2014-04-04,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/ubongokids/ubongo-kids-tanzanias-homegrown-edu-cartoon-season?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/ubongokids/ubongo-kids-tanzanias-homegrown-edu-cartoon-season/rewards""}}",51395.0,Animation,film & video/animation,Dar es Salaam,45,911.1111111111111
11,43,4049,NAmerica,2011-02-10,USD,USD,2011-03-26,False,1.0,2800.0,2074069009,False,2011-02-15,Can't Give This War Away:  Photojournalism from Iraq,4049.0,True,False,successful,2011-03-26,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/344190969/cant-give-this-war-away-photojournalism-from-iraq?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/344190969/cant-give-this-war-away-photojournalism-from-iraq/rewards""}}",4049.0,Photo,journalism/photo,NH,44,63.63636363636363
12,26,2827,NAmerica,2014-04-29,USD,USD,2014-07-23,False,1.0,1500.0,117322336,False,2014-06-23,USMC ETCHED MIRRORS,2827.0,True,False,successful,2014-07-23,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/429669649/usmc-etched-mirrors?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/429669649/usmc-etched-mirrors/rewards""}}",2827.0,Glass,crafts/glass,IA,85,17.647058823529413
13,1,5,NAmerica,2014-07-09,USD,USD,2014-07-16,False,1.0,100.0,1991782257,False,2014-07-09,Meatballs,5.0,False,False,failed,2014-07-16,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1882239354/meatballs?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1882239354/meatballs/rewards""}}",5.0,Small Batch,food/small batch,CT,7,14.285714285714286
14,133,14255,Euro,2018-03-13,GBP,USD,2018-05-02,False,1.30577112,5500.0,693404006,False,2018-04-02,A woman discovered climate change. A man took the credit.,10471.0,True,False,successful,2018-05-02,1.40173816,"{""web"":{""project"":""https://www.kickstarter.com/projects/1700396939/a-woman-discovered-climate-change-a-man-took-the-c?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1700396939/a-woman-discovered-climate-change-a-man-took-the-c/rewards""}}",14677.60027336,Shorts,film & video/shorts,England,50,110.0
15,8,215,NAmerica,2014-04-23,USD,USD,2014-06-19,False,1.0,20000.0,1073599573,False,2014-05-20,Written Images,215.0,False,False,failed,2014-06-19,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/mikekrum90/written-images-0?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/mikekrum90/written-images-0/rewards""}}",215.0,Experimental,film & video/experimental,IL,57,350.87719298245617
16,4,250,NAmerica,2017-07-16,USD,USD,2017-09-02,False,1.0,3000.0,1069661676,False,2017-08-03,Veggie States: Vegetables With Emotions,250.0,False,False,failed,2017-09-02,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/2032218105/veggie-states-vegetables-with-emotions?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/2032218105/veggie-states-vegetables-with-emotions/rewards""}}",250.0,Digital Art,art/digital art,CA,48,62.5
17,1,12,Euro,2016-11-29,GBP,USD,2016-12-16,False,1.30577112,30000.0,896571411,False,2016-11-30,The next big tv franchise,10.0,False,False,failed,2016-12-16,1.25159892,"{""web"":{""project"":""https://www.kickstarter.com/projects/108704658/the-next-big-tv-franchise?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/108704658/the-next-big-tv-franchise/rewards""}}",12.5159892,Television,film & video/television,England,17,1764.7058823529412
18,2,29,NAmerica,2017-08-04,USD,USD,2017-10-03,False,1.0,200000.0,1867678354,False,2017-08-04,True Vegas Nights (Concert Event Reality Series),29.0,False,False,failed,2017-10-03,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/truevegasnights/true-vegas-nights-concert-event-reality-series?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/truevegasnights/true-vegas-nights-concert-event-reality-series/rewards""}}",29.0,Television,film & video/television,NV,60,3333.3333333333335
19,127,8877,NAmerica,2018-08-18,USD,USD,2018-10-13,False,1.0,8000.0,1231121210,False,2018-09-17,Grace Paley's Life Stories,8877.0,True,True,successful,2018-10-13,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1293301982/grace-paleys-life-stories?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1293301982/grace-paleys-life-stories/rewards""}}",8877.0,Nonfiction,publishing/nonfiction,OR,56,142.85714285714286
20,406,21799,NAmerica,2016-09-06,USD,USD,2016-11-03,False,1.0,20000.0,621087138,False,2016-10-04,"Destiny, NY - FINAL HOURS!",21799.0,True,True,successful,2016-11-03,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/patshand/destiny-ny-a-graphic-novel?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/patshand/destiny-ny-a-graphic-novel/rewards""}}",21799.0,Graphic Novels,comics/graphic novels,NY,58,344.82758620689657
21,53,3831,NAmerica,2014-09-02,USD,USD,2014-11-06,False,1.0,3500.0,1173959970,False,2014-10-08,For The Record...,3831.0,True,False,successful,2014-11-06,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/laurenorban/for-the-record?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/laurenorban/for-the-record/rewards""}}",3831.0,Shorts,film & video/shorts,NY,65,53.84615384615385
22,14,322,NAmerica,2014-08-16,USD,USD,2015-01-06,False,1.0,200.0,1620339877,False,2014-11-24,Nature & Landscape Photography in the USA,322.0,True,False,successful,2015-01-06,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1691234573/nature-and-landscape-photography-in-the-usa?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1691234573/nature-and-landscape-photography-in-the-usa/rewards""}}",322.0,Nature,photography/nature,CA,143,1.3986013986013985
23,149,32421,NAmerica,2016-05-14,USD,USD,2017-05-29,False,1.0,30000.0,126516373,False,2017-04-29,Kaw Point Meadery - Handcrafted Honey Wines from Kansas City,32421.0,True,False,successful,2017-05-29,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/kawpointmeadery/kaw-point-meadery-handcrafted-honey-wines-from-kan?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/kawpointmeadery/kaw-point-meadery-handcrafted-honey-wines-from-kan/rewards""}}",32421.0,Food,food,KS,380,78.94736842105263
24,151,30926,NAmerica,2014-08-18,USD,USD,2014-10-15,False,1.0,30000.0,1393705618,False,2014-09-29,No Touching (Short Film) - With Zoë Bell & Heidi Moneymaker,30926.0,True,True,successful,2014-10-15,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1600002142/no-touching?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1600002142/no-touching/rewards""}}",30926.0,Action,film & video/action,CA,58,517.2413793103449
25,6,1061,NAmerica,2014-07-07,USD,USD,2014-08-08,False,1.0,1000.0,1560371265,False,2014-07-24,Snow White and the GMO Apple,1061.0,True,False,successful,2014-08-08,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/2128373566/snow-white-and-the-gmo-apple?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/2128373566/snow-white-and-the-gmo-apple/rewards""}}",1061.0,Shorts,film & video/shorts,FL,32,31.25
26,181,13511,NAmerica,2017-12-20,USD,USD,2018-02-02,False,1.0,12500.0,93471905,False,2018-01-03,Kiln for studio potter and working Mom,13511.0,True,True,successful,2018-02-02,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/187569985/kiln-for-studio-potter-and-working-mom?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/187569985/kiln-for-studio-potter-and-working-mom/rewards""}}",13511.0,Pottery,crafts/pottery,NY,44,284.09090909090907
27,115,6227,NAmerica,2014-03-19,USD,USD,2014-07-18,False,1.0,6000.0,879869231,False,2014-06-18,Workshop space needed for teaching sustainability classes!,6227.0,True,True,successful,2014-07-18,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1305054249/workshop-space-needed-for-teaching-sustainability?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1305054249/workshop-space-needed-for-teaching-sustainability/rewards""}}",6227.0,Farms,food/farms,OH,121,49.586776859504134
